Route,Count
kasargod kallumvalapp,9
kallumvalapp kasargod,7
thiruvatta karunagappally,1
alappuzha chengannur,20
kavalam kottayam medical college,29
kottarakara pathanapuram,48
ernakulam kottayam,76
chengannur harippad,1
punalur kanjirappally,15
karunagappally kayamkulam,53
kavalam lisieux church kottayam medical college,30
kanjirappally punalur,15
karattal kadavu kayamkulam,2
pathanamthitta harippad,24
kasargod kallali,5
enath pathanapuram,17
kavalam lisio changanassery,37
kollam karunagappally,63
thengakkal vandiperiyar,10
thiruvatta pattathilkadavu,1
kayamkulam chavara,25
kallali kasargod,3
kayamkulam chavara ire,27
mundakayam erumely,4
pala thodupuzha,13
kasargod kambar,7
kavalam kottayam,17
thiruvananthapuram karunagappally,12
pala ramapuram,9
harippad vandanam medical college,18
kambar kasargod,5
kasargod ayampara,3
mundakayam kaliyikkavila,1
chavara patharam,1
chavara ire kayamkulam,19
ramapuram pala,8
chennad thiruvananthapuram,2
ayampara kasargod,1
kasargod civil station,3
patharam kayamkulam,3
thodupuzha pala,10
chavara ire karunagappally,17
kottayam thenkasi,5
oachira karattal kadavu,1
karunagappally oachira,8
oachira chavara,36
chavara harippad,2
karunagapally vandanam,1
vandanam karunagappally,2
karunagappally kattilkadavu,9
kattilkadavu kollam (chinnakada),10
kollam (chinnakada) kattilkadavu,9
kattilkadavu karunagappally,7
chavara kattilkadavu,1
kattilkadavu kayamkulam,1
thrissur olippara,1
vadakkencherry kottaikulam,1
kottaikulam thrissur,1
vadakkencherry kozhikkode,5
kattilkadavu chavara,1
palakkad ottapalam,7
karunagappally pavumba,4
ottapalam vadakkencherry,1
palakkad pollachi,47
pavumba chavara,1
palakkad meenakshipuram,6
chavara sasthamkotta,1
sasthamkotta oachira,1
palakkad vandithavalam,5
vandithavalam chittoor depot,1
chavara pavumba,1
pudunagaram chittoor depot,3
pavumba karunagappally,2
meenakshipuram chittoor,2
pollachi palakkad,48
pavumba kollam (chinnakada),4
anchal puanlur,4
civil station kasargid,1
kanhangad kasargod railway station,90
kasargod railway station civil station (kgd),6
civil station kasargod,2
kasargod chattanchal,8
chattanchal kasargod,7
kasargod paramba,4
paramba kasargod,1
kasargod palakunnu,9
palakunnu kasargod,6
kasargod chala,3
chala bus stand,1
kasargod kasargod,2
kasargod pady,6
pady kasargod,4
